search_id,date_utc,language,query,engine_or_route,candidate_families,materially_new_high_value_family,disposition
R01,2026-08-25,English,Global Fishing Watch AIS presence events SAR API China fishing,web,GFW APIs and datasets,YES,GFW product family
R02,2026-08-25,English,site:zenodo.org Global Fishing Watch fishing effort v3,web,GFW Zenodo archive,NO,same provider
R03,2026-08-25,English,Deep-Sea Mining Watch vessel data download,web,DSM Watch,YES,specialized AIS-derived provider
R04,2026-08-25,English,Mongabay CNN China deep sea mining vessels AIS data,web,Mongabay; MarineTraffic; DSM Watch,NO,citation snowball to known providers
R05,2026-08-25,English,AMTI Chinese coast guard tracker AIS data download,web,AMTI; Starboard; MarineTraffic,YES,reference/identity family
R06,2026-08-25,English,AMTI Hainan maritime militia vessel list MMSI,web,AMTI public Google Sheet,YES,open identity crosswalk
R07,2026-08-25,English,SeaLight China maritime militia AIS data source,web,SeaLight; Starboard; SCSDI,NO,known reference providers
R08,2026-08-25,Chinese simplified,南海 战略态势 感知 船舶 AIS 航迹 数据,web,SCSPI,YES,Chinese-language reference family
R09,2026-08-25,English,South China Sea Data Initiative download dataset,web,SCSDI; Harvard Dataverse,YES,open incident data family
R10,2026-08-25,English,ChinaPower raw maritime incident data,web,ChinaPower Google Sheet,YES,open event/crosswalk family
R11,2026-08-25,Japanese,中国海軍 艦艇 動向 統合幕僚監部 公表,web,Japan Joint Staff,YES,official observations
R12,2026-08-25,Japanese,中国海警 尖閣 接続水域 統計 海上保安庁,web,Japan Coast Guard,YES,official CCG presence
R13,2026-08-25,Traditional Chinese,中國海警 船位 海巡署 蘭嶼 東沙 公布,web,Taiwan CGA,YES,official Taiwan observations
R14,2026-08-25,Traditional Chinese,國防部 中共 解放軍 艦艇 動態 圖,web,Taiwan MND,YES,daily official aggregates/maps
R15,2026-08-25,English,Philippine Coast Guard Chinese research vessel track Xiang Yang Hong,web,Philippines PCG/PIA; Canada DVD,YES,official corroboration; partner detection
R16,2026-08-25,Japanese,JIIA 中国 海洋調査船 AIS 航跡,web,JIIA; commercial AIS,YES,research report identity evidence
R17,2026-08-25,English,PANGAEA Xue Long ship track GPS,web,PANGAEA,YES,open raw research-vessel track
R18,2026-08-25,Chinese simplified,雪龙 雪龙2 科考 航迹 GPS 数据 下载,web,China Polar Data Center,YES,polar cruise catalog
R19,2026-08-25,Chinese simplified,科学号 嘉庚号 向阳红 航次 航迹 数据共享,web,NODC/NORC; COMS; XMU; Digital SCS,YES,Chinese cruise portal families
