source_id,provider,actor_submatrix,evidence_type,Taiwan East,Taiwan South,Taiwan Strait,Bashi/Luzon Strait,East China Sea,Senkaku/Diaoyu,South China Sea,Yellow Sea,Western Pacific,Indian Ocean,Global,access_class,connector_priority,coverage_note
gfw_fishing_vessels_v3,Global Fishing Watch,FISHING,VESSEL_IDENTITY;AGGREGATE_ACTIVITY,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,OPEN_BULK_ARCHIVE,P0,best open reproducible Chinese fishing identity/activity index
gfw_fleet_monthly_v3,Global Fishing Watch,FISHING,VESSEL_PRESENCE;FISHING_ACTIVITY,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,OPEN_BULK_ARCHIVE,P0,best open reproducible fishing-density layer
gfw_api_presence,Global Fishing Watch,FISHING;OTHER,VESSEL_PRESENCE,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,ACCOUNT_REQUIRED,P1,"current and scalable, but token and terms gate default builds"
gfw_api_events,Global Fishing Watch,FISHING;OTHER,EVENT;AIS_GAP,EVENT,EVENT,EVENT,EVENT,EVENT,EVENT,EVENT,EVENT,EVENT,EVENT,EVENT,ACCOUNT_REQUIRED,P1,high analytic value after explicit credential and license handling
gfw_sar_presence,Global Fishing Watch,FISHING;MILITIA;OTHER,SAR_DETECTION,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,ACCOUNT_REQUIRED,P1,valuable dark-vessel layer; identity inference must remain qualified
gfw_sar_figshare,Global Fishing Watch et al.,FISHING;OTHER,SAR_DETECTION;MODEL_DATA,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,OPEN_DOWNLOAD,P2,"research archive, not current actor connector"
dsm_watch,Global Fishing Watch / Benioff Ocean Science Laboratory,RESEARCH;OTHER,AGGREGATE_ACTIVITY;REFERENCE,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,OPEN_INTERACTIVE_VIEW,P2,public aggregate portal; vessel search/event download account-gated; individual track export not demonstrated
pangaea_xue_long_2012,PANGAEA,RESEARCH,GPS_TRACK,,,,,,,,,,,,OPEN_DIRECT,P0,strongest verified open individual Chinese research-vessel track
china_polar_data_center,National Arctic and Antarctic Data Center (China),RESEARCH,GPS_TRACK;CRUISE_TRACK,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,OPEN_REGISTRATION,P1,high-value family; direct API path failed and order/account workflow remains
national_earth_system_cruise,National Earth System Science Data Center,RESEARCH,CRUISE_TRACK;STATION_POSITIONS,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,OPEN_OR_REQUEST,P1,new final-round provider family; individual license/retrieval audit needed
digital_south_china_sea,South China Sea Institute of Oceanology,RESEARCH,CRUISE_TRACK;STATION_POSITIONS,,,,RAW,,,RAW,,RAW,RAW,,OPEN_OR_REQUEST,P1,large catalog but rights and direct bulk access not yet proven
norc_shared_cruises,National Ocean Research Center of China,RESEARCH,CRUISE_TRACK;STATION_POSITIONS,,,,RAW,,,RAW,,RAW,RAW,,OPEN_OR_REQUEST,P1,"promising institutional source, not a proven unrestricted track feed"
coms_fleet,Chinese Academy of Sciences COMS,RESEARCH,CRUISE_TRACK;STATION_POSITIONS,,,,RAW,,,RAW,,RAW,RAW,,OPEN_OR_REQUEST,P2,useful discovery/crosswalk source; no stable open bulk track endpoint verified
xmu_jiageng,Xiamen University,RESEARCH,CRUISE_METADATA;STATION_POSITIONS,,,,REF,,,REF,,REF,REF,,OPEN_VIEWER,P2,metadata-rich but downloadable position series not demonstrated
cchdo,CCHDO,RESEARCH,STATION_POSITIONS,REF,REF,REF,REF,REF,REF,REF,REF,REF,REF,REF,OPEN_DIRECT,P1,good station evidence and vessel crosswalk; not a trajectory substitute
mgds_r2r,Marine Geoscience Data System / Rolling Deck to Repository,RESEARCH,CRUISE_TRACK;GEOPHYSICAL_TRACKLINE,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,OPEN_DIRECT,P1,search by Chinese vessel aliases; coverage uneven
noaa_ncei_trackline,NOAA NCEI,RESEARCH,GEOPHYSICAL_TRACKLINE,REF,REF,REF,REF,REF,REF,REF,REF,REF,REF,REF,OPEN_DIRECT,P1,potential Chinese survey coverage requires alias-by-alias query
