source_id,provider,access_class,license_or_terms,attribution,redistribution,derivatives,commercial_use,account_or_contract,default_eligible,legal_review_needed,evidence_url,notes,last_checked_utc
gfw_fishing_vessels_v3,Global Fishing Watch,OPEN_DIRECT,CC BY-SA 4.0,required,allowed with share-alike,same as redistribution unless separately stated,allowed subject to license,not required for tested direct artifact,YES,NO,https://zenodo.org/records/14982712,best open reproducible Chinese fishing identity/activity index,2026-08-25
gfw_fleet_monthly_v3,Global Fishing Watch,OPEN_DIRECT,CC BY-SA 4.0,required,allowed with share-alike,same as redistribution unless separately stated,allowed subject to license,not required for tested direct artifact,YES,NO,https://zenodo.org/records/14982712,best open reproducible fishing-density layer,2026-08-25
gfw_api_presence,Global Fishing Watch,OPEN_REGISTRATION,GFW API terms; noncommercial,required,restricted by terms,same as redistribution unless separately stated,not allowed without permission,required,NO,YES before integration,https://globalfishingwatch.org/our-apis/documentation/,"current and scalable, but token and terms gate default builds",2026-08-25
gfw_api_events,Global Fishing Watch,OPEN_REGISTRATION,GFW API terms; noncommercial,required,restricted by terms,same as redistribution unless separately stated,not allowed without permission,required,NO,YES before integration,https://globalfishingwatch.org/our-apis/documentation/,high analytic value after explicit credential and license handling,2026-08-25
gfw_sar_presence,Global Fishing Watch,OPEN_REGISTRATION,GFW API terms; noncommercial,required,restricted by terms,same as redistribution unless separately stated,not allowed without permission,required,NO,YES before integration,https://globalfishingwatch.org/platform-update/sar-data-and-imagery-now-available-on-marine-manager-portal/,valuable dark-vessel layer; identity inference must remain qualified,2026-08-25
gfw_sar_figshare,Global Fishing Watch et al.,OPEN_DIRECT,CC BY 4.0,required,allowed with attribution,same as redistribution unless separately stated,allowed,not required for tested direct artifact,NO,YES before integration,https://doi.org/10.6084/m9.figshare.24309475.v4,"research archive, not current actor connector",2026-08-25
dsm_watch,Global Fishing Watch / Benioff Ocean Science Laboratory,OPEN_VIEWER,site/API terms,required,raw export rights not established,same as redistribution unless separately stated,not established,not required for tested direct artifact,NO,YES before integration,https://globalfishingwatch.org/our-map/deep-sea-mining-watch/,best dedicated mining-vessel reference; underlying raw lineage requires permission,2026-08-25
pangaea_xue_long_2012,PANGAEA,OPEN_DIRECT,CC BY 3.0,required,allowed with attribution,same as redistribution unless separately stated,allowed,not required for tested direct artifact,YES,NO,https://doi.org/10.1594/PANGAEA.891818,strongest verified open individual Chinese research-vessel track,2026-08-25
china_polar_data_center,National Arctic and Antarctic Data Center (China),OPEN_REGISTRATION,catalog terms; dataset-specific,required,dataset-specific review,same as redistribution unless separately stated,dataset-specific review,required,NO,YES before integration,https://datacenter.chinare.org.cn/,high-value family; direct API path failed and order/account workflow remains,2026-08-25
national_earth_system_cruise,National Earth System Science Data Center,OPEN_OR_REQUEST,dataset-specific attribution terms,required,dataset-specific,same as redistribution unless separately stated,dataset-specific,not required for tested direct artifact,NO,YES before integration,https://www.geodata.cn/,new final-round provider family; individual license/retrieval audit needed,2026-08-25
digital_south_china_sea,South China Sea Institute of Oceanology,OPEN_OR_REQUEST,portal/dataset-specific,required,not established,same as redistribution unless separately stated,not established,not required for tested direct artifact,NO,YES before integration,https://data.scsio.ac.cn/,large catalog but rights and direct bulk access not yet proven,2026-08-25
norc_shared_cruises,National Ocean Research Center of China,OPEN_OR_REQUEST,Chinese shared-cruise rules,required,approval/dataset-specific,same as redistribution unless separately stated,not established,not required for tested direct artifact,NO,YES before integration,https://www.norc.com.cn/,"promising institutional source, not a proven unrestricted track feed",2026-08-25
coms_fleet,Chinese Academy of Sciences COMS,OPEN_OR_REQUEST,dataset-specific,required,review terms,same as redistribution unless separately stated,review terms,not required for tested direct artifact,NO,YES before integration,https://www.coms.ac.cn/,useful discovery/crosswalk source; no stable open bulk track endpoint verified,2026-08-25
xmu_jiageng,Xiamen University,OPEN_VIEWER,site/dataset-specific,required,review terms,same as redistribution unless separately stated,review terms,not required for tested direct artifact,NO,YES before integration,https://ships.xmu.edu.cn/,metadata-rich but downloadable position series not demonstrated,2026-08-25
cchdo,CCHDO,OPEN_DIRECT,dataset-specific open scientific terms,required,generally allowed with citation; dataset review,same as redistribution unless separately stated,dataset review,not required for tested direct artifact,NO,YES before integration,https://cchdo.ucsd.edu/,good station evidence and vessel crosswalk; not a trajectory substitute,2026-08-25
mgds_r2r,Marine Geoscience Data System / Rolling Deck to Repository,OPEN_DIRECT,dataset-specific open terms,required,dataset-specific,same as redistribution unless separately stated,dataset-specific,not required for tested direct artifact,NO,YES before integration,https://www.marine-geo.org/,search by Chinese vessel aliases; coverage uneven,2026-08-25
noaa_ncei_trackline,NOAA NCEI,OPEN_DIRECT,US public data / dataset-specific,required,generally permitted with attribution,same as redistribution unless separately stated,generally permitted,not required for tested direct artifact,NO,YES before integration,https://www.ncei.noaa.gov/products/marine-trackline-geophysical-data,potential Chinese survey coverage requires alias-by-alias query,2026-08-25
seadatanet,SeaDataNet,OPEN_REGISTRATION,SeaDataNet/data-originator terms,required,originator terms,same as redistribution unless separately stated,review,required,NO,YES before integration,https://www.seadatanet.org/,discovery value; limited expected Chinese operator coverage,2026-08-25
scsdi_dataverse_v1,South China Sea Data Initiative / Harvard Dataverse,OPEN_DIRECT,CC0 1.0 metadata; dataset terms displayed by Dataverse,required,allowed subject to record terms,same as redistribution unless separately stated,review record terms,not required for tested direct artifact,YES,NO,https://doi.org/10.7910/DVN/GCBWA6,best open uncertainty-explicit regional event source,2026-08-25
scsdi_live_csv,South China Sea Data Initiative,OPEN_DIRECT,not clearly stated on current file,required,unclear,same as redistribution unless separately stated,unclear,not required for tested direct artifact,NO,YES before integration,https://scsdi.org/data/,use pinned Dataverse v1 until schema and versioning are repaired,2026-08-25
