source_id,provider,product,url,languages,actor_families,evidence_type,geographic_coverage,temporal_coverage,update_cadence_or_lag,identity_fields,spatial_density_or_resolution,temporal_resolution,coordinate_precision,processing_level,quality_flags,uncertainty_model,format,qgis_readiness,access_class,retrieval_test_id,license_or_terms,attribution_required,redistribution,commercial_use,recommended_citation,production_suitability,connector_priority,default_eligible,decision_reason,last_checked_utc
gfw_fishing_vessels_v3,Global Fishing Watch,Fishing vessels v3,https://zenodo.org/records/14982712,English,FISHING,VESSEL_IDENTITY;AGGREGATE_ACTIVITY,Global,2012-2024,versioned annual archive,MMSI; flag; vessel class; registry/self-report fields,773165 vessel-year rows; 81655 unique CHN MMSIs,annual vessel summaries,no positions,GFW inferred identity/activity,documented by provider,not explicit,CSV+JSON schema,tabular join; no geometry,OPEN_BULK_ARCHIVE,RT-GFW-IDENTITY,CC BY-SA 4.0,required,allowed with share-alike,allowed subject to license,"Global Fishing Watch (2025), Fishing vessels v3, doi:10.5281/zenodo.14982712",high,P0,YES,best open reproducible Chinese fishing identity/activity index,2026-08-25
gfw_fleet_monthly_v3,Global Fishing Watch,Fleet monthly 0.1-degree v3,https://zenodo.org/records/14982712,English,FISHING,VESSEL_PRESENCE;FISHING_ACTIVITY,Global,2012-2024,versioned annual archive,flag and gear; no individual identity,0.1 degree cells; Taiwan audit 2022-2024,monthly,0.1 degree grid,aggregated AIS effort,documented by provider,not explicit,zipped CSV,direct XY/grid load,OPEN_BULK_ARCHIVE,RT-GFW-FLEET-2022;RT-GFW-FLEET-2023;RT-GFW-FLEET-2024,CC BY-SA 4.0,required,allowed with share-alike,allowed subject to license,"Global Fishing Watch (2025), Apparent fishing effort v3",high,P0,YES,best open reproducible fishing-density layer,2026-08-25
gfw_api_presence,Global Fishing Watch,Global vessel presence API,https://globalfishingwatch.org/our-apis/documentation/,English,FISHING;OTHER,VESSEL_PRESENCE,Global,current API window; historical varies,about 5-day lag,dataset-dependent; public presence is aggregated,one AIS position/hour/vessel before aggregation,configurable aggregation,grid/API dependent,AIS normalized and aggregated,documented by provider,not explicit,JSON/tiles,connector required,ACCOUNT_REQUIRED,,GFW API terms; noncommercial,required,restricted by terms,not allowed without permission,cite provider/product,high,P1,NO,"current and scalable, but token and terms gate default builds",2026-08-25
gfw_api_events,Global Fishing Watch,"Fishing, encounter, loitering, port, gap events API",https://globalfishingwatch.org/our-apis/documentation/,English,FISHING;OTHER,EVENT;AIS_GAP,Global,dataset-dependent,about 5-day lag,vessel ID/MMSI availability depends on endpoint,event records,event start/end,event geometry,algorithmic events,algorithm version and event definitions,model/event thresholds,JSON,connector required,ACCOUNT_REQUIRED,,GFW API terms; noncommercial,required,restricted by terms,not allowed without permission,cite provider/product,high,P1,NO,high analytic value after explicit credential and license handling,2026-08-25
gfw_sar_presence,Global Fishing Watch,Global SAR vessel presence,https://globalfishingwatch.org/platform-update/sar-data-and-imagery-now-available-on-marine-manager-portal/,English,FISHING;MILITIA;OTHER,SAR_DETECTION,Global,Sentinel-1 era to present,about 5-day lag,matched AIS where available; otherwise none,Sentinel-1 scene detections,scene time,detection centroid,machine-learning detections,documented by provider,matching/detection confidence,API/tiles,connector required,ACCOUNT_REQUIRED,RT-GFW-SAR-SAMPLE,GFW API terms; noncommercial,required,restricted by terms,not allowed without permission,cite provider/product,medium,P1,NO,valuable dark-vessel layer; identity inference must remain qualified,2026-08-25
gfw_sar_figshare,Global Fishing Watch et al.,Satellite mapping reveals extensive industrial activity at sea,https://doi.org/10.6084/m9.figshare.24309475.v4,English,FISHING;OTHER,SAR_DETECTION;MODEL_DATA,Global,2017-2021 study period,versioned archive,matched subsets; test sample has none,global Sentinel-1 derived; multi-GB,scene,point detection,study/model outputs,documented by provider,presence labels and model confidence,CSV/ZIP,direct XY after download,OPEN_DOWNLOAD,RT-GFW-SAR-SAMPLE,CC BY 4.0,required,allowed with attribution,allowed,cite provider/product,medium,P2,NO,"research archive, not current actor connector",2026-08-25
dsm_watch,Global Fishing Watch / Benioff Ocean Science Laboratory,Deep-Sea Mining Watch,https://globalfishingwatch.org/platform/map/fishing-activity/deep-sea-mining-public,English,RESEARCH;OTHER,AGGREGATE_ACTIVITY;REFERENCE,Global deep-sea mining areas,2012-present described,ongoing,vessel search permission-gated in unauthenticated portal,interactive activity heatmap; no raw positions retrieved,activity periods,viewer dependent,AIS-derived classifications,documented by provider,not explicit,interactive map,reference only until authenticated export and rights review,OPEN_INTERACTIVE_VIEW,,site/API terms,required,raw export rights not established,not established,cite provider/product,medium,P2,NO,public aggregate portal; vessel search/event download account-gated; individual track export not demonstrated,2026-08-25
pangaea_xue_long_2012,PANGAEA,Xue Long Polarstern meeting track,https://doi.org/10.1594/PANGAEA.891818,English,RESEARCH,GPS_TRACK,Western Arctic,2012-07-17/2012-09-08,immutable DOI record,vessel name and campaign,3186 positions,about 24 minutes,published decimal coordinates,published navigation log,QC flag D,not explicit,tab-separated text,verified WGS84 and antimeridian load,OPEN_DIRECT,RT-PANGAEA-XUELONG,CC BY 3.0,required,allowed with attribution,allowed,"Knust et al. (2018), PANGAEA.891818",high,P0,YES,strongest verified open individual Chinese research-vessel track,2026-08-25
china_polar_data_center,National Arctic and Antarctic Data Center (China),Chinese polar expedition GPS track catalog,https://datacenter.chinare.org.cn/,Simplified Chinese;English,RESEARCH,GPS_TRACK;CRUISE_TRACK,Arctic;Antarctic;Global,multiple expeditions,per expedition,Xue Long; Xue Long 2; cruise,catalog advertises hourly GPS,hourly,GPS,cruise navigation,documented by provider,not explicit,catalog/data order,likely tabular after access,OPEN_REGISTRATION,RT-CHINARE-CATALOG,catalog terms; dataset-specific,required,dataset-specific review,dataset-specific review,cite provider/product,medium,P1,NO,high-value family; direct API path failed and order/account workflow remains,2026-08-25
national_earth_system_cruise,National Earth System Science Data Center,Chinese ocean cruise/underway datasets,https://www.geodata.cn/,Simplified Chinese,RESEARCH,CRUISE_TRACK;STATION_POSITIONS,Indian Ocean;Western Pacific;South China Sea;Global,cruise-specific; 2010s-present catalog,project deposits,research vessel/cruise where documented,cruise/station dependent,underway/station dependent,instrument navigation,curated scientific observations,documented by provider,not explicit,dataset-specific archives,conversion usually required,OPEN_OR_REQUEST,,dataset-specific attribution terms,required,dataset-specific,dataset-specific,cite provider/product,medium,P1,NO,new final-round provider family; individual license/retrieval audit needed,2026-08-25
