vessel_key,hull_number,name_en_or_romanized,name_zh,aliases_or_former_names,imo,mmsi_primary,mmsi_secondary,actor_family,operator_or_institution,vessel_type,source_ids,identity_confidence,track_availability,notes,last_checked_utc
AMTI-MM-001,,Qiong Lin Yu 01456,,,,412524861,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-002,,Qiong Lin Yu 11587,,,,412520361,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,GFW bulk identity/activity match; no individual positions in archive; online track access authentication-blocked in R3C,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name. Exact MMSI matched the public GFW Fishing vessels v3 archive; this does not infer behavior or militia status.,2026-08-25
AMTI-MM-003,,Qiong Lin Yu 18555,,,,412524864,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-004,,Qiong Lin Yu 60017,,,,412524858,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-005,,Qiong Lin Yu 60018,,,,412520251,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,GFW bulk identity/activity match; no individual positions in archive; online track access authentication-blocked in R3C,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name. Exact MMSI matched the public GFW Fishing vessels v3 archive; this does not infer behavior or militia status.,2026-08-25
AMTI-MM-006,,Qiong Lin Yu 60019,,,,412520252,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-007,,Qiong Lin Yu 60020,,,,412524877,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-008,,Qiong Qionghai Yu 1101,,,,,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-009,,Qiong Sansha Yu 00001,,,,412520141,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-010,,Qiong Sansha Yu 00002,,,,412520142,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-011,,Qiong Sansha Yu 00003,,,,412520143,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-012,,Qiong Sansha Yu 00004,,,,412520144,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-013,,Qiong Sansha Yu 00005,,,,412520003,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
