mgrb_entity_id,gfw_identity_key,actor_type,plausibly_relevant,identity_available,available_bulk_summary_start,available_bulk_summary_end,tested_period_start,tested_period_end,individual_positions_usable,retrieved_position_count,position_density,geographic_intersection_confirmed,intersected_mgrb_presets,retrieval_status,limitation
AMTI-MM-002,mmsi:412520361,MARITIME_MILITIA,YES,YES,2018-01-01,2024-12-31,2022-01-01,2026-08-23,NO,0,NONE,NO,,BULK_ONLY_NO_INDIVIDUAL_TRACK,Annual archive activity does not contain coordinates; Taiwan/East Asia intersection cannot be inferred from identity or yearly activity.
AMTI-MM-005,mmsi:412520251,MARITIME_MILITIA,YES,YES,2022-01-01,2024-12-31,2022-01-01,2026-08-23,NO,0,NONE,NO,,BULK_ONLY_NO_INDIVIDUAL_TRACK,Annual archive activity does not contain coordinates; Taiwan/East Asia intersection cannot be inferred from identity or yearly activity.
AMTI-MM-093,mmsi:412524557,MARITIME_MILITIA,YES,YES,2023-01-01,2024-12-31,2022-01-01,2026-08-23,NO,0,NONE,NO,,BULK_ONLY_NO_INDIVIDUAL_TRACK,Annual archive activity does not contain coordinates; Taiwan/East Asia intersection cannot be inferred from identity or yearly activity.
AMTI-MM-099,mmsi:412524449,MARITIME_MILITIA,YES,YES,2020-01-01,2024-12-31,2022-01-01,2026-08-23,NO,0,NONE,NO,,BULK_ONLY_NO_INDIVIDUAL_TRACK,Annual archive activity does not contain coordinates; Taiwan/East Asia intersection cannot be inferred from identity or yearly activity.
AMTI-MM-100,mmsi:412524443,MARITIME_MILITIA,YES,YES,2023-01-01,2024-12-31,2022-01-01,2026-08-23,NO,0,NONE,NO,,BULK_ONLY_NO_INDIVIDUAL_TRACK,Annual archive activity does not contain coordinates; Taiwan/East Asia intersection cannot be inferred from identity or yearly activity.
AMTI-MM-102,mmsi:412524433,MARITIME_MILITIA,YES,YES,2020-01-01,2024-12-31,2022-01-01,2026-08-23,NO,0,NONE,NO,,BULK_ONLY_NO_INDIVIDUAL_TRACK,Annual archive activity does not contain coordinates; Taiwan/East Asia intersection cannot be inferred from identity or yearly activity.
AMTI-MM-103,mmsi:412523613,MARITIME_MILITIA,YES,YES,2023-01-01,2024-12-31,2022-01-01,2026-08-23,NO,0,NONE,NO,,BULK_ONLY_NO_INDIVIDUAL_TRACK,Annual archive activity does not contain coordinates; Taiwan/East Asia intersection cannot be inferred from identity or yearly activity.
AMTI-MM-105,mmsi:412520375,MARITIME_MILITIA,YES,YES,2024-01-01,2024-12-31,2022-01-01,2026-08-23,NO,0,NONE,NO,,BULK_ONLY_NO_INDIVIDUAL_TRACK,Annual archive activity does not contain coordinates; Taiwan/East Asia intersection cannot be inferred from identity or yearly activity.
AMTI-MM-110,mmsi:412520235,MARITIME_MILITIA,YES,YES,2017-01-01,2024-12-31,2022-01-01,2026-08-23,NO,0,NONE,NO,,BULK_ONLY_NO_INDIVIDUAL_TRACK,Annual archive activity does not contain coordinates; Taiwan/East Asia intersection cannot be inferred from identity or yearly activity.
AMTI-MM-116,mmsi:412512177,MARITIME_MILITIA,YES,YES,2023-01-01,2024-12-31,2022-01-01,2026-08-23,NO,0,NONE,NO,,BULK_ONLY_NO_INDIVIDUAL_TRACK,Annual archive activity does not contain coordinates; Taiwan/East Asia intersection cannot be inferred from identity or yearly activity.
AMTI-MM-119,mmsi:412522116,MARITIME_MILITIA,YES,YES,2024-01-01,2024-12-31,2022-01-01,2026-08-23,NO,0,NONE,NO,,BULK_ONLY_NO_INDIVIDUAL_TRACK,Annual archive activity does not contain coordinates; Taiwan/East Asia intersection cannot be inferred from identity or yearly activity.
AMTI-MM-122,mmsi:412522154,MARITIME_MILITIA,YES,YES,2023-01-01,2024-12-31,2022-01-01,2026-08-23,NO,0,NONE,NO,,BULK_ONLY_NO_INDIVIDUAL_TRACK,Annual archive activity does not contain coordinates; Taiwan/East Asia intersection cannot be inferred from identity or yearly activity.
AMTI-MM-123,mmsi:415000568,MARITIME_MILITIA,YES,YES,2018-01-01,2024-12-31,2022-01-01,2026-08-23,NO,0,NONE,NO,,BULK_ONLY_NO_INDIVIDUAL_TRACK,Annual archive activity does not contain coordinates; Taiwan/East Asia intersection cannot be inferred from identity or yearly activity.
AMTI-MM-127,mmsi:412345687,MARITIME_MILITIA,YES,YES,2012-01-01,2024-12-31,2022-01-01,2026-08-23,NO,0,NONE,NO,,BULK_ONLY_NO_INDIVIDUAL_TRACK,Annual archive activity does not contain coordinates; Taiwan/East Asia intersection cannot be inferred from identity or yearly activity.
AMTI-MM-130,mmsi:412520346,MARITIME_MILITIA,YES,YES,2018-01-01,2018-12-31,2022-01-01,2026-08-23,NO,0,NONE,NO,,BULK_ONLY_NO_INDIVIDUAL_TRACK,Annual archive activity does not contain coordinates; Taiwan/East Asia intersection cannot be inferred from identity or yearly activity.
AMTI-MM-139,mmsi:412523528,MARITIME_MILITIA,YES,YES,2022-01-01,2024-12-31,2022-01-01,2026-08-23,NO,0,NONE,NO,,BULK_ONLY_NO_INDIVIDUAL_TRACK,Annual archive activity does not contain coordinates; Taiwan/East Asia intersection cannot be inferred from identity or yearly activity.
AMTI-MM-143,mmsi:412520437,MARITIME_MILITIA,YES,YES,2023-01-01,2024-12-31,2022-01-01,2026-08-23,NO,0,NONE,NO,,BULK_ONLY_NO_INDIVIDUAL_TRACK,Annual archive activity does not contain coordinates; Taiwan/East Asia intersection cannot be inferred from identity or yearly activity.
