mgrb_entity_id,actor_type,source_actor_type,attempted,successfully_searched,query_method,query_value,executed_interface,online_api_status,gfw_vessel_id,gfw_identity_key,gfw_reported_name,gfw_reported_imo,gfw_reported_mmsi,gfw_reported_callsign,flag,vessel_class_or_type,first_available_date,last_available_date,match_status,match_confidence,resolution_status,match_scope,candidate_count,existing_census_source_ids,identifier_snowball_status,identifier_snowball_notes,discrepancy_notes
AMTI-MM-001,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412524861,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-002,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520361,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,mmsi:412520361,,,412520361,,CHN,fishing,2018-01-01,2024-12-31,EXACT_IDENTIFIER,1.0,IDENTITY_MATCH_NO_TRACK,GFW_FISHING_VESSELS_V3_BULK_ONLY,1,amti_hainan_militia,CHECKED_NO_MATERIALLY_NEW_SOURCE_LINK,Exact MMSI/name checked against the existing R3 crosswalk source-link inventory; the AMTI source link was already present and no new existing census repository link was established.,"Exact MMSI match in GFW Fishing vessels v3 bulk archive. The archive has annual identity/activity summaries, no GFW internal vessel ID and no positions. Online Vessel Search remained token-blocked."
AMTI-MM-003,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412524864,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-004,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412524858,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-005,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520251,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,mmsi:412520251,,,412520251,,CHN,fishing,2022-01-01,2024-12-31,EXACT_IDENTIFIER,1.0,IDENTITY_MATCH_NO_TRACK,GFW_FISHING_VESSELS_V3_BULK_ONLY,1,amti_hainan_militia,CHECKED_NO_MATERIALLY_NEW_SOURCE_LINK,Exact MMSI/name checked against the existing R3 crosswalk source-link inventory; the AMTI source link was already present and no new existing census repository link was established.,"Exact MMSI match in GFW Fishing vessels v3 bulk archive. The archive has annual identity/activity summaries, no GFW internal vessel ID and no positions. Online Vessel Search remained token-blocked."
AMTI-MM-006,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520252,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-007,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412524877,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-008,MARITIME_MILITIA,MILITIA;FISHING,YES,NO,NAME,Qiong Qionghai Yu 1101,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NOT_TESTED,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,Strongest documented online query was prepared but not executed because the Vessel Search API returned HTTP 401 without an owner-supplied token; the public bulk archive cannot search this identifier type.
AMTI-MM-009,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520141,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-010,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520142,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-011,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520143,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-012,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520144,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-013,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520003,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-014,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520145,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-015,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412550004,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-016,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520146,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-017,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520149,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-018,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520151,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-019,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520152,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-020,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520154,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-021,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520155,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-022,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520156,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-023,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520157,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-024,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520158,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-025,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520159,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-026,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520161,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-027,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520162,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
