observation_id,entity_id,timestamp_start,timestamp_end,latitude,longitude,actor_type,vessel_name,hull_number,IMO,MMSI,source_type,source_name,source_record_id,source_url,source_date,observation_method,identity_confidence,position_confidence,observed_or_inferred,position_uncertainty_m,temporal_uncertainty_s,license,attribution,raw_record_reference,processing_notes,build_id
js-20250707-533-nw,plan-jiangkai2-533,2025-07-02T01:00:00Z,2025-07-02T01:00:00Z,26.25420,122.90856,PLAN,PLAN frigate 533,533,,,OFFICIAL_OBSERVATION,Japan Joint Staff,JS-2025-07-07-533-NW,https://www.mod.go.jp/js/pdf/2025/p20250707_02.pdf,2025-07-07,TEXT_RELATIVE_POSITION,DOCUMENTED,MEDIUM,OBSERVED,8000,1800,Japanese government webpage; reuse terms require review,Japan Ministry of Defense Joint Staff press release,p20250707_02.pdf p.1,"Computed geodesically from Uotsuri-shima north-west 80 km; source wording controls.",PUBLIC_SEED
js-20250707-533-west,plan-jiangkai2-533,2025-07-02T12:00:00Z,2025-07-02T15:00:00Z,25.74252,122.67747,PLAN,PLAN frigate 533,533,,,OFFICIAL_OBSERVATION,Japan Joint Staff,JS-2025-07-07-533-W,https://www.mod.go.jp/js/pdf/2025/p20250707_02.pdf,2025-07-07,TEXT_RELATIVE_POSITION,DOCUMENTED,MEDIUM,OBSERVED,8000,50340,Japanese government webpage; reuse terms require review,Japan Ministry of Defense Joint Staff press release,p20250707_02.pdf p.1,"Computed geodesically from Uotsuri-shima west 80 km; nominal timestamp is only for ordering and exact later time is not stated.",PUBLIC_SEED
js-20250707-530-nw,plan-jiangkai2-530,2025-07-02T07:00:00Z,2025-07-02T07:00:00Z,26.25420,122.90856,PLAN,PLAN frigate 530,530,,,OFFICIAL_OBSERVATION,Japan Joint Staff,JS-2025-07-07-530-NW,https://www.mod.go.jp/js/pdf/2025/p20250707_02.pdf,2025-07-07,TEXT_RELATIVE_POSITION,DOCUMENTED,MEDIUM,OBSERVED,8000,1800,Japanese government webpage; reuse terms require review,Japan Ministry of Defense Joint Staff press release,p20250707_02.pdf p.1,"Computed geodesically from Uotsuri-shima north-west 80 km; source wording controls.",PUBLIC_SEED
js-20250707-530-west,plan-jiangkai2-530,2025-07-02T12:00:00Z,2025-07-02T15:00:00Z,25.74252,122.67747,PLAN,PLAN frigate 530,530,,,OFFICIAL_OBSERVATION,Japan Joint Staff,JS-2025-07-07-530-W,https://www.mod.go.jp/js/pdf/2025/p20250707_02.pdf,2025-07-07,TEXT_RELATIVE_POSITION,DOCUMENTED,MEDIUM,OBSERVED,8000,28740,Japanese government webpage; reuse terms require review,Japan Ministry of Defense Joint Staff press release,p20250707_02.pdf p.1,"Computed geodesically from Uotsuri-shima west 80 km; nominal timestamp is only for ordering and exact later time is not stated.",PUBLIC_SEED
js-20250707-533-map,plan-jiangkai2-533,2025-07-06T00:00:00Z,2025-07-06T23:59:59Z,25.10000,125.25000,PLAN,PLAN frigate 533,533,,,OFFICIAL_OBSERVATION,Japan Joint Staff,JS-2025-07-07-533-MAP,https://www.mod.go.jp/js/pdf/2025/p20250707_02.pdf,2025-07-07,MAP_DERIVED_POSITION,DOCUMENTED,LOW,OBSERVED,35000,43200,Japanese government webpage; reuse terms require review,Japan Ministry of Defense Joint Staff press release,p20250707_02.pdf p.3,"Approximate digitization of provider overview map; not equivalent to an exact coordinate.",PUBLIC_SEED
js-20250507-796-sw,plan-dongdiao-796,2025-05-04T12:00:00Z,2025-05-04T12:00:00Z,24.08338,122.51677,PLAN,PLAN intelligence collection ship 796,796,,,OFFICIAL_OBSERVATION,Japan Joint Staff,JS-2025-05-07-796-SW,https://www.mod.go.jp/js/pdf/2025/p20250507_02.pdf,2025-05-07,TEXT_RELATIVE_POSITION,DOCUMENTED,MEDIUM,OBSERVED,8000,1800,Japanese government webpage; reuse terms require review,Japan Ministry of Defense Joint Staff press release,p20250507_02.pdf p.1,"Computed geodesically from Yonaguni south-west 60 km.",PUBLIC_SEED
js-20250623-17-south,plan-shandong-17,2025-06-22T11:00:00Z,2025-06-22T11:00:00Z,19.49999,122.93400,PLAN,Shandong,17,,,OFFICIAL_OBSERVATION,Japan Joint Staff,JS-2025-06-23-17-S550,https://www.mod.go.jp/js/pdf/2025/p20250623_01.pdf,2025-06-23,TEXT_RELATIVE_POSITION,DOCUMENTED,LOW,OBSERVED,40000,3600,Japanese government webpage; reuse terms require review,Japan Ministry of Defense Joint Staff press release,p20250623_01.pdf p.3,"Computed due south 550 km from Yonaguni; source states only south and approximate distance.",PUBLIC_SEED
cga-20260601-2304,ccg-2304,2026-06-01T03:00:00Z,2026-06-01T03:00:00Z,21.72092,122.40995,CCG,China Coast Guard 2304,2304,,,OFFICIAL_OBSERVATION,Taiwan Coast Guard Administration,CGA-2026-06-01-2304,https://www.cga.gov.tw/GipOpen/wSite/ct?ctNode=650&mp=999&xItem=168001,2026-06-01,TEXT_RELATIVE_POSITION,DOCUMENTED,MEDIUM,OBSERVED,10000,900,Taiwan government webpage; reuse terms require review,Taiwan Coast Guard Administration release,CGA xItem 168001,"Computed geodesically from Lanyu east-south-east 52 nautical miles.",PUBLIC_SEED
cga-20260601-2502,ccg-2502,2026-06-01T03:00:00Z,2026-06-01T03:00:00Z,21.72740,122.39345,CCG,China Coast Guard 2502,2502,,,OFFICIAL_OBSERVATION,Taiwan Coast Guard Administration,CGA-2026-06-01-2502,https://www.cga.gov.tw/GipOpen/wSite/ct?ctNode=650&mp=999&xItem=168001,2026-06-01,TEXT_RELATIVE_POSITION,DOCUMENTED,MEDIUM,OBSERVED,10000,900,Taiwan government webpage; reuse terms require review,Taiwan Coast Guard Administration release,CGA xItem 168001,"Computed geodesically from Lanyu east-south-east 51 nautical miles.",PUBLIC_SEED
mofa-20220604-dfh3,research-dongfanghong-3,2022-06-04T03:07:00Z,2022-06-04T03:07:00Z,24.99904,124.15500,RESEARCH_SURVEY,Dong Fang Hong 3,,,,OFFICIAL_OBSERVATION,Japan Ministry of Foreign Affairs / Coast Guard,MOFA-2022-06-04-DFH3,https://www.mofa.go.jp/mofaj/press/release/press1_000909.html,2022-06-04,TEXT_RELATIVE_POSITION,DOCUMENTED,MEDIUM,OBSERVED,8000,900,Japanese government webpage; reuse terms require review,Japan Ministry of Foreign Affairs release,press1_000909,"Computed geodesically from Ishigaki north 73 km; activity description remains attributed to the source.",PUBLIC_SEED
cga-20250916-fishing,fishing-yuenanao-31067,2025-09-13T00:00:00Z,2025-09-14T23:59:59Z,23.60000,119.05000,FISHING,Yue Nan Ao 31067,31067,,,OFFICIAL_OBSERVATION,Taiwan Coast Guard Administration,CGA-2025-09-16-FISHING,https://www.cga.gov.tw/GipOpen/wSite/ct?ctNode=10547&mp=9994&xItem=165919,2025-09-16,TEXT_DESCRIBED_POSITION,DOCUMENTED,LOW,OBSERVED,25000,86400,Taiwan government webpage; reuse terms require review,Taiwan Coast Guard Administration clarification,CGA xItem 165919,"Representative low-confidence point for the reported 24-26 nautical-mile offshore area between Mudouyu and Huayu; not an exact vessel coordinate and no militia status is inferred.",PUBLIC_SEED
